claim_type,bin_index,count,avg_predicted_p,empirical_frequency,gap
BUILD_PASS,0,0,0.000000,0.000000,0.000000
BUILD_PASS,1,0,0.000000,0.000000,0.000000
BUILD_PASS,2,0,0.000000,0.000000,0.000000
BUILD_PASS,3,0,0.000000,0.000000,0.000000
BUILD_PASS,4,0,0.000000,0.000000,0.000000
BUILD_PASS,5,0,0.000000,0.000000,0.000000
BUILD_PASS,6,3,0.616667,0.000000,0.616667
BUILD_PASS,7,0,0.000000,0.000000,0.000000
BUILD_PASS,8,1,0.850000,1.000000,-0.150000
BUILD_PASS,9,1,0.900000,1.000000,-0.100000
TESTS_PASS,0,0,0.000000,0.000000,0.000000
TESTS_PASS,1,0,0.000000,0.000000,0.000000
TESTS_PASS,2,0,0.000000,0.000000,0.000000
TESTS_PASS,3,0,0.000000,0.000000,0.000000
TESTS_PASS,4,0,0.000000,0.000000,0.000000
TESTS_PASS,5,0,0.000000,0.000000,0.000000
TESTS_PASS,6,1,0.600000,1.000000,-0.400000
TESTS_PASS,7,1,0.700000,0.000000,0.700000
TESTS_PASS,8,1,0.800000,1.000000,-0.200000
TESTS_PASS,9,0,0.000000,0.000000,0.000000
