stable_hash,tenant_id,repo_full_name,repo_owner,repo_name,is_scanned,is_fork,parent_full_name,source_full_name,html_url,default_branch,visibility,topics_json,metadata_json,first_seen_run_id,last_seen_run_id
"955ed3989299861eeb547ac10d6932600cca5a6154380b4fa8ff02ee4b771bb1","public-hardonian","agno-agi/agno","agno-agi","agno","false","false","","","https://github.com/agno-agi/agno","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"a777293694a27d9bc11da4badb40a3091fc41f6623bf1c0298a93c2a215d7512","public-hardonian","ahmadvh/ai-agents-for-medical-diagnostics","ahmadvh","ai-agents-for-medical-diagnostics","false","false","","","https://github.com/ahmadvh/ai-agents-for-medical-diagnostics","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"bf985c988c2a9b3b5fa3b55dd3bf4b08e48d91cece48edfc8d08fbcb8676ad95","public-hardonian","aleksnestu/ai-real-estate-assistant","aleksnestu","ai-real-estate-assistant","false","false","","","https://github.com/aleksnestu/ai-real-estate-assistant","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"1084bc4d2c19c2c6e7dba205feebff00bbd6b6d8cc88f9d52cb88e80883fd63f","public-hardonian","ashishpatel26/500-ai-agents-projects","ashishpatel26","500-ai-agents-projects","false","false","","","https://github.com/ashishpatel26/500-ai-agents-projects","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"321d3435f80c861f901ccb79bff802e040639c2981549b9ae9322df7831cbe63","public-hardonian","crewaiinc/crewai-examples","crewaiinc","crewai-examples","false","false","","","https://github.com/crewaiinc/crewai-examples","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"11ef0596527a9d75ca2a00d36d15c29f9562209e4224749166c47506d7a1cba9","public-hardonian","crosleythomas/mirrorgpt","crosleythomas","mirrorgpt","false","false","","","https://github.com/crosleythomas/mirrorgpt","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"b88066159e134fb94ba026874b956684951d5c974955849f0238a299240260c1","public-hardonian","firica/legalai","firica","legalai","false","false","","","https://github.com/firica/legalai","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"714a6a0b423724cf67d810a4718e6beaead219991fa57579956f8e8603f54aef","public-hardonian","hardonian/500-ai-agents-projects","hardonian","500-ai-agents-projects","true","true","","","https://github.com/Hardonian/500-AI-Agents-Projects","main","public","[]","{""archived"":false,""disabled"":false,""forks_count"":0,""github_id"":1047407787,""owner_type"":""User"",""stargazers_count"":0}","lineage-20260303145747","lineage-20260303145747"
"df487a7c5282602621f9e03b426719d86b58e00013e2634aefdfd3b2b9397e52","public-hardonian","hardonian/ace","hardonian","ace","true","false","","","https://github.com/Hardonian/ace","main","public","[]","{""archived"":false,""disabled"":false,""forks_count"":0,""github_id"":1078622449,""owner_type"":""User"",""stargazers_count"":0}","lineage-20260303145747","lineage-20260303145747"
"9ab1ab56b91bd1d35b10a351d5a4a32a0633229db75c37e0f788739909d2a06d","public-hardonian","hardonian/ai-agent-portfolio","hardonian","ai-agent-portfolio","true","false","","","https://github.com/Hardonian/AI-Agent-Portfolio","main","public","[]","{""archived"":false,""disabled"":false,""forks_count"":0,""github_id"":1032014265,""owner_type"":""User"",""stargazers_count"":0}","lineage-20260303145747","lineage-20260303145747"
"9b05c86348e551a18f791efce40dc052567244b8d74f16bf4a8e445765c3dc62","public-hardonian","harshhh28/hia","harshhh28","hia","false","false","","","https://github.com/harshhh28/hia","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"fa4045d21f029a9dbb0afdc472c8628649fd964d80999099ce85de9364165d6d","public-hardonian","hoanganhvu123/shoppinggpt","hoanganhvu123","shoppinggpt","false","false","","","https://github.com/hoanganhvu123/shoppinggpt","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"6e5c1dc799d3dd80dba55392316dc2e1c7499bf28a8e06f93f72a7d6ffc16318","public-hardonian","hqanhh/edugpt","hqanhh","edugpt","false","false","","","https://github.com/hqanhh/edugpt","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"6f2b810e7cf8182cca193ba9e551b5c5005372e3189ccdcaeecaee1bf68a69c0","public-hardonian","langchain-ai/langgraph","langchain-ai","langgraph","false","false","","","https://github.com/langchain-ai/langgraph","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
"9540d19569a98a95d4fd67b64fd988dd5cbc0b9a79d6a3df214a6773eacd898d","public-hardonian","mahmoudrabea13/medisuite-ai-agent","mahmoudrabea13","medisuite-ai-agent","false","false","","","https://github.com/mahmoudrabea13/medisuite-ai-agent","","","[]","{""inferred"":true}","lineage-20260303145747","lineage-20260303145747"
