command	exit_code	log_file
verify:ai-safety	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_ai-safety.log
verify:boundaries	0	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_boundaries.log
verify:ci	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_ci.log
verify:contracts	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_contracts.log
verify:cost-accounting	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_cost-accounting.log
verify:cpp	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_cpp.log
verify:dead-code	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_dead-code.log
verify:dependencies	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_dependencies.log
verify:deps-graph	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_deps-graph.log
verify:determinism	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_determinism.log
verify:economics	0	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_economics.log
verify:entropy	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_entropy.log
verify:final	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_final.log
verify:full	0	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_full.log
verify:governance	0	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_governance.log
verify:integrity	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_integrity.log
verify:invariants	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_invariants.log
verify:lint	0	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_lint.log
verify:mcp	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_mcp.log
verify:no-any-core	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_no-any-core.log
verify:no-console	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_no-console.log
verify:perf-maint	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_perf-maint.log
verify:policy	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_policy.log
verify:ratchet	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_ratchet.log
verify:ratchet-gates	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_ratchet-gates.log
verify:replay	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_replay.log
verify:routes	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_routes.log
verify:sbom	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_sbom.log
verify:schemas	0	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_schemas.log
verify:skills	0	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_skills.log
verify:supplychain	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_supplychain.log
verify:tenant-isolation	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_tenant-isolation.log
verify:web	1	docs/baseline-logs/requiem-verify-pass2-20260302-214518/verify_web.log
